pais,genero,idade,num_produtos,membro_ativo,saldo,salario_estimado,probabilidade_churn,previsao,data_analise
Spain,Male,38,1,1,44432223.08,233.0,0.09092106556349017,Baixo Grau de Cancelamento,2026-01-13T17:25:58.525097
Spain,Male,38,1,0,44432223.08,233.0,0.4032664307269913,Baixo Grau de Cancelamento,2026-01-13T17:25:57.009275
Spain,Male,56,1,1,4444444432223.0,23333.0,0.3871050900850816,Baixo Grau de Cancelamento,2026-01-13T17:25:36.391798
Spain,Female,45,1,1,4354566.0,345554434.0,0.3760986729300374,Baixo Grau de Cancelamento,2026-01-13T17:25:26.045892
Spain,Female,60,3,0,6090099987.0,56567787.0,0.7092103795942023,Médio Grau de Cancelamento,2026-01-13T17:24:17.777772
Spain,Male,23,2,1,5000000.0,600000000.0,0.0504729564886763,Baixo Grau de Cancelamento,2026-01-13T17:23:51.196197
Spain,Male,60,2,1,70000.0,50000.0,0.373936017461476,Baixo Grau de Cancelamento,2026-01-13T17:17:46.551656
Spain,Female,60,1,1,900000.0,50000000.0,0.3121525597111059,Baixo Grau de Cancelamento,2026-01-13T15:32:35.438155
Germany,Male,24,1,1,55999.0,66699999.0,0.295458218773258,Baixo Grau de Cancelamento,2026-01-13T15:30:36.837488
Spain,Female,70,1,1,80000.0,80000000.0,0.3112732698107101,Baixo Grau de Cancelamento,2026-01-13T15:30:17.054333
France,Male,60,1,1,700000.0,800000.0,0.3654299723296616,Baixo Grau de Cancelamento,2026-01-13T15:23:24.801272
Spain,Female,80,1,1,80000.0,80000.0,0.2184617684055523,Baixo Grau de Cancelamento,2026-01-13T15:22:41.710895
