pais,genero,idade,num_produtos,membro_ativo,saldo,salario_estimado,probabilidade_churn,previsao,data_analise
Spain,Male,120,1,1,3222222.0,22222.0,0.11189056502402336,Baixo Grau de Cancelamento,2026-01-13T17:53:30.989071
France,Female,344,1,1,3333.0,222.0,0.5493219062133542,Baixo Grau de Cancelamento,2026-01-13T17:52:19.869593
Germany,Male,19,2,1,333333322222.0,22232222222.0,0.1448430830242482,Baixo Grau de Cancelamento,2026-01-13T17:41:43.519057
Germany,Male,32,2,1,333333322222.0,222322222.0,0.0500688451436187,Baixo Grau de Cancelamento,2026-01-13T17:41:06.781601
Germany,Male,32,3,1,33333333.0,2223332.0,0.5425664120747818,Baixo Grau de Cancelamento,2026-01-13T17:41:00.099511
Germany,Male,31,3,1,33333333.0,2223332.0,0.4947184476478642,Baixo Grau de Cancelamento,2026-01-13T17:40:58.007291
Germany,Male,31,3,1,3333334452233.0,2222222222.0,0.4383017623584733,Baixo Grau de Cancelamento,2026-01-13T17:40:54.939815
Spain,Female,31,1,1,3333334452233.0,2222222222.0,0.2365003636305025,Baixo Grau de Cancelamento,2026-01-13T17:40:50.457629
Spain,Female,32,1,1,3333334454.0,2222222223.0,0.2456900020169259,Baixo Grau de Cancelamento,2026-01-13T17:40:44.357759
Spain,Male,34,3,1,324345444.0,2333344.0,0.5374107478957303,Baixo Grau de Cancelamento,2026-01-13T17:40:23.072774
Spain,Male,34423,3,1,324422.0,2333344.0,0.5014847555151175,Baixo Grau de Cancelamento,2026-01-13T17:40:16.791886
Spain,Male,344444,1,1,322222.0,23333333.0,0.1809546237397376,Baixo Grau de Cancelamento,2026-01-13T17:40:06.966923
Spain,Female,33,2,1,533333.0,65522.0,0.058752285479673,Baixo Grau de Cancelamento,2026-01-13T17:39:58.124568
Spain,Female,33,3,1,533333.0,6555566.0,0.2839179819123892,Baixo Grau de Cancelamento,2026-01-13T17:39:54.616491
Spain,Female,34,3,1,53354.0,655555555.0,0.8910703148335818,Alto Grau de Cancelamento,2026-01-13T17:39:48.206738
Spain,Female,66,3,1,53354.0,655555555.0,0.780311201425008,Médio Grau de Cancelamento,2026-01-13T17:39:44.997346
Spain,Female,66,3,1,56777766666.0,6554444444.0,0.4261059619544339,Baixo Grau de Cancelamento,2026-01-13T17:39:39.652738
Spain,Female,66,1,1,56777777777.0,6555555.0,0.0819496017381754,Baixo Grau de Cancelamento,2026-01-13T17:39:29.241160
France,Female,57,1,1,7600000000000.0,7777777777.0,0.2911767596310927,Baixo Grau de Cancelamento,2026-01-13T17:39:11.901017
Spain,Female,50,1,1,70000000.0,80000000.0,0.5234288596834633,Baixo Grau de Cancelamento,2026-01-13T17:32:36.125292
Spain,Male,38,1,1,44432223.08,233.0,0.0909210655634901,Baixo Grau de Cancelamento,2026-01-13T17:25:58.525097
Spain,Male,38,1,0,44432223.08,233.0,0.4032664307269913,Baixo Grau de Cancelamento,2026-01-13T17:25:57.009275
Spain,Male,56,1,1,4444444432223.0,23333.0,0.3871050900850816,Baixo Grau de Cancelamento,2026-01-13T17:25:36.391798
Spain,Female,45,1,1,4354566.0,345554434.0,0.3760986729300374,Baixo Grau de Cancelamento,2026-01-13T17:25:26.045892
Spain,Female,60,3,0,6090099987.0,56567787.0,0.7092103795942023,Médio Grau de Cancelamento,2026-01-13T17:24:17.777772
Spain,Male,23,2,1,5000000.0,600000000.0,0.0504729564886763,Baixo Grau de Cancelamento,2026-01-13T17:23:51.196197
Spain,Male,60,2,1,70000.0,50000.0,0.373936017461476,Baixo Grau de Cancelamento,2026-01-13T17:17:46.551656
Spain,Female,60,1,1,900000.0,50000000.0,0.3121525597111059,Baixo Grau de Cancelamento,2026-01-13T15:32:35.438155
Germany,Male,24,1,1,55999.0,66699999.0,0.295458218773258,Baixo Grau de Cancelamento,2026-01-13T15:30:36.837488
Spain,Female,70,1,1,80000.0,80000000.0,0.3112732698107101,Baixo Grau de Cancelamento,2026-01-13T15:30:17.054333
France,Male,60,1,1,700000.0,800000.0,0.3654299723296616,Baixo Grau de Cancelamento,2026-01-13T15:23:24.801272
Spain,Female,80,1,1,80000.0,80000.0,0.2184617684055523,Baixo Grau de Cancelamento,2026-01-13T15:22:41.710895
